2026-05-12 02:07:48.453 | ERROR    | rule_execution.py:83 - Rule execution error: name '_execute_audit_sql_logic' is not defined
2026-05-12 02:07:48.489 | WARNING  | agent_graph.py:296 - ⚠️ [FAST_EXEC] 执行异常: FastRoute 算子内部执行失败: name '_execute_audit_sql_logic' is not defined
2026-05-12 02:08:24.673 | ERROR    | rule_execution.py:83 - Rule execution error: name '_execute_audit_sql_logic' is not defined
2026-05-12 02:08:38.433 | WARNING  | sql_execution.py:67 - ⚠️ [Skill] SQL execution failed: 物理算力拦截：在扫描 18GB 流水表执行 Discovery 任务时，必须显式提供 setl_time 或 start_date 时间区间（推荐 '2024-01-01' 起）以利用 ClickHouse 分区裁剪性能。
2026-05-12 02:08:38.435 | WARNING  | agent_graph.py:389 - Skill 报错: 物理算力拦截：在扫描 18GB 流水表执行 Discovery 任务时，必须显式提供 setl_time 或 start_date 时间区间（推荐 '2024-01-01' 起）以利用 ClickHouse 分区裁剪性能。
2026-05-12 02:08:58.957 | ERROR    | rule_execution.py:83 - Rule execution error: name '_execute_audit_sql_logic' is not defined
2026-05-12 02:08:58.957 | WARNING  | agent_graph.py:296 - ⚠️ [FAST_EXEC] 执行异常: FastRoute 算子内部执行失败: name '_execute_audit_sql_logic' is not defined
2026-05-12 02:09:04.502 | ERROR    | rule_execution.py:83 - Rule execution error: name '_execute_audit_sql_logic' is not defined
2026-05-12 02:09:21.151 | WARNING  | sql_execution.py:67 - ⚠️ [Skill] SQL execution failed: 物理算力拦截：在扫描 18GB 流水表执行 Discovery 任务时，必须显式提供 setl_time 或 start_date 时间区间（推荐 '2024-01-01' 起）以利用 ClickHouse 分区裁剪性能。
2026-05-12 02:09:21.156 | WARNING  | agent_graph.py:389 - Skill 报错: 物理算力拦截：在扫描 18GB 流水表执行 Discovery 任务时，必须显式提供 setl_time 或 start_date 时间区间（推荐 '2024-01-01' 起）以利用 ClickHouse 分区裁剪性能。
2026-05-12 02:09:46.059 | ERROR    | rule_execution.py:83 - Rule execution error: name '_execute_audit_sql_logic' is not defined
2026-05-12 02:09:46.059 | WARNING  | agent_graph.py:296 - ⚠️ [FAST_EXEC] 执行异常: FastRoute 算子内部执行失败: name '_execute_audit_sql_logic' is not defined
2026-05-12 02:09:54.539 | ERROR    | rule_execution.py:83 - Rule execution error: name '_execute_audit_sql_logic' is not defined
2026-05-12 02:10:09.190 | WARNING  | sql_execution.py:67 - ⚠️ [Skill] SQL execution failed: 物理算力拦截：在扫描 18GB 流水表执行 Discovery 任务时，必须显式提供 setl_time 或 start_date 时间区间（推荐 '2024-01-01' 起）以利用 ClickHouse 分区裁剪性能。
2026-05-12 02:10:09.191 | WARNING  | agent_graph.py:389 - Skill 报错: 物理算力拦截：在扫描 18GB 流水表执行 Discovery 任务时，必须显式提供 setl_time 或 start_date 时间区间（推荐 '2024-01-01' 起）以利用 ClickHouse 分区裁剪性能。
2026-05-12 02:10:36.677 | ERROR    | rule_execution.py:83 - Rule execution error: name '_execute_audit_sql_logic' is not defined
2026-05-12 02:10:36.677 | WARNING  | agent_graph.py:296 - ⚠️ [FAST_EXEC] 执行异常: FastRoute 算子内部执行失败: name '_execute_audit_sql_logic' is not defined
2026-05-12 02:11:22.210 | ERROR    | security.py:132 - [SECURITY] 发现物理不存在的幻觉字段: fee_amt
2026-05-12 02:11:22.217 | WARNING  | sql_execution.py:67 - ⚠️ [Skill] SQL execution failed: 物理拦截：字段 `fee_amt` 既不是物理列也不是合法别名。严禁猜测字段名，请仅使用 Physical Blueprint 中提供的字段。
2026-05-12 02:11:22.218 | WARNING  | agent_graph.py:389 - Skill 报错: 物理拦截：字段 `fee_amt` 既不是物理列也不是合法别名。严禁猜测字段名，请仅使用 Physical Blueprint 中提供的字段。
